A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4,E1,E2,E3,E4,F1,F2,F3,F4,G1,G2,G3,G4,G5,G6,G7,G8,H1,H3,H4,H5,H6,H7
1,2,1,2,2,3,1,1,3,1,5.2,53,2,1,3,3,3,0,2,2,0,0,3,3,3,3,3,1,1,0,1,1,2,2,1,0,1,0,2,1
1,2,1,2,1,3,1,3,4,4,5.3,50,3,2,3,4,1,1,2,0,1,0,2,1,1,3,2,1,0,0,0,2,3,2,1,1,1,1,0,2
2,1,1,2,2,3,1,1,3,2,5.7,63,3,1,3,3,3,1,1,2,2,1,2,2,3,4,2,0,0,0,0,2,1,3,2,3,1,0,2,0
1,2,1,2,2,3,1,3,3,2,5.2,70,2,2,3,4,1,2,1,1,2,0,2,2,2,3,1,0,0,0,0,2,1,3,2,3,2,2,2,2
1,2,1,2,2,1,2,1,4,3,5.5,53,1,3,2,1,1,2,2,2,1,0,2,1,2,2,1,0,0,1,2,2,1,0,0,2,0,1,0,2
1,1,2,2,2,3,1,2,3,3,5.7,53,4,2,2,4,3,1,2,2,1,0,2,2,2,3,1,0,0,0,2,1,3,2,2,2,1,2,1,2
1,1,1,2,2,3,1,2,4,4,5.9,88,3,1,3,3,3,1,2,2,2,0,2,2,2,3,0,1,0,0,0,0,3,1,2,1,1,0,1,2
1,2,1,2,2,3,1,3,4,2,5.4,56,2,2,2,4,1,1,2,0,2,0,2,1,2,4,1,0,0,1,2,0,1,1,0,1,0,1,2,3
1,2,1,1,2,3,2,3,4,4,5.2,48,3,2,2,1,1,1,3,2,1,0,2,1,2,3,1,0,0,0,0,1,2,0,2,2,1,2,1,1
2,2,1,1,2,3,2,3,3,4,5.2,68,1,2,3,1,2,2,2,2,2,0,3,3,1,3,2,0,1,0,0,2,2,2,2,2,1,3,2,2
2,1,1,2,2,1,1,1,4,4,5.5,60,2,0,3,4,3,1,2,0,2,2,2,2,3,3,3,1,2,1,1,0,3,3,1,2,1,2,2,3
2,1,1,2,1,3,2,1,4,2,6.2,80,2,2,2,3,1,1,2,2,2,1,2,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2
2,1,1,2,2,3,1,1,4,3,5.7,57,4,2,3,3,1,2,2,1,2,0,3,3,2,4,2,2,1,1,1,2,3,3,2,2,2,3,3,3
2,1,1,2,2,3,1,1,4,4,5.9,62,4,2,3,4,3,1,1,0,2,1,2,3,3,4,1,0,0,0,2,1,1,1,1,2,2,2,3,3
2,1,1,2,2,3,2,3,4,2,5.1,87,2,1,3,3,3,0,2,0,2,0,2,2,1,2,0,0,0,0,0,0,2,1,2,0,0,1,0,2
1,2,1,2,2,3,2,1,3,1,5.3,57,4,2,3,3,1,2,2,0,1,0,3,2,3,4,2,0,0,1,2,0,2,3,2,3,2,0,2,3
1,2,1,2,2,3,1,3,4,4,5.5,65,3,1,3,3,4,2,2,0,1,0,3,1,2,3,2,0,0,1,0,2,2,3,2,3,2,3,3,3
1,1,1,2,2,3,1,1,4,2,5.8,75,3,2,2,3,1,0,2,1,2,0,2,2,2,4,1,1,1,1,0,1,3,2,2,2,2,2,2,2
2,2,1,1,2,3,3,2,4,4,5.4,70,1,1,3,1,1,1,2,2,0,0,1,1,1,3,1,0,0,0,2,0,2,0,0,0,1,0,0,1
1,2,1,1,2,3,2,3,4,4,5.4,44,4,2,2,3,3,2,1,0,2,0,1,1,1,2,1,0,0,0,0,0,2,0,2,0,0,1,0,2
2,2,1,2,2,3,1,2,3,3,5,50,4,2,1,4,4,0,2,2,1,0,2,2,2,3,1,1,1,1,1,2,3,2,0,2,0,0,2,2
1,1,1,2,2,3,2,1,3,2,6.2,84,4,3,3,4,4,2,2,2,1,0,3,3,2,3,1,1,1,0,1,0,1,3,2,2,2,2,2,3
